,typ,iLTs,ACR,net_delay,mouse_clicks,subject
291,map,"1556266674442:173,1556266676387:183,1556266676749:245,1556266677117:277,1556266677517:167,1556266677984:87,1556266678459:55,1556266681703:16,1556266682305:26,1556266682910:22,1556266683686:10",5,1ms,"up:1556266676384:98-87:0,up:1556266676568:98-87:0,up:1556266676736:98-87:0,up:1556266676913:98-87:0,up:1556266677112:98-87:0,up:1556266677299:98-87:0,up:1556266677504:98-87:0,up:1556266677976:98-87:0,up:1556266678456:98-87:0,up:1556266679008:98-87:0,55:Down:1556266681449:629:409:0,up:1556266681709:497-630:0,16:Down:1556266682113:764:361:0,up:1556266682330:604-640:0,26:Down:1556266682801:786:404:0,up:1556266682987:682-600:0,22:Down:1556266683433:777:354:0,up:1556266683785:745-420:0,10:Down:1556266685528:586:712:0,up:1556266685616:586-712:0,10:Down:1556266685938:581:722:0,up:1556266686040:581-722:0,10:Down:1556266686800:666:783:0,up:1556266686880:666-783:0,10:Down:1556266689216:739:787:0,up:1556266689312:739-787:0,10:Down:1556266689864:648:827:0,up:1556266689944:648-827:0",18
292,map,1556266702852:2675,2,600ms,"up:1556266693416:88-83:0,up:1556266693720:88-83:0,up:1556266693920:88-83:0,up:1556266694104:88-83:0,up:1556266694320:88-83:0,up:1556266695664:98-86:0,up:1556266696232:98-86:0,up:1556266696720:98-86:0,up:1556266697408:98-86:0,-9:Down:1556266699936:853:270:0,up:1556266700169:657-652:0,-9:Down:1556266701625:864:350:0,up:1556266701937:663-587:0,-9:Down:1556266702625:784:377:0,up:1556266703089:727-505:0,-9:Down:1556266704992:582:722:0,up:1556266705072:582-722:0,2675:Down:1556266705888:539:782:0,up:1556266705984:539-782:0,2675:Down:1556266706402:603:826:0,up:1556266706487:603-826:0",18
293,map,1556266718645,1,850ms,"up:1556266710359:107-89:0,up:1556266710537:106-89:0,up:1556266710711:106-89:0,up:1556266710888:106-89:0,up:1556266711071:106-89:0,up:1556266711287:106-89:0,up:1556266711521:106-89:0,up:1556266711752:106-89:0,up:1556266712263:106-89:0,up:1556266712887:106-89:0,up:1556266713391:106-89:0,up:1556266713903:106-89:0,-9:Down:1556266716200:777:232:0,up:1556266716600:585-506:0,-9:Down:1556266717272:782:271:0,up:1556266717840:571-545:0,-9:Down:1556266718376:825:246:0,up:1556266718904:654-557:0,-9:Down:1556266721944:585:719:0,up:1556266722064:585-719:0,-9:Down:1556266723591:476:781:0,up:1556266723695:474-781:0,-9:Down:1556266724681:667:836:0,up:1556266724775:667-836:0",18
294,sat,1556266751699,1,2000ms,"up:1556266726872:92-83:0,up:1556266727081:92-83:0,up:1556266727295:92-83:0,up:1556266727512:92-83:0,up:1556266727719:92-83:0,up:1556266728152:92-83:0,up:1556266729799:92-83:0,up:1556266730311:92-83:0,up:1556266730743:92-83:0,-9:Down:1556266740675:733:307:0,up:1556266741281:634-446:0,-9:Down:1556266745344:703:363:0,up:1556266745648:566-501:0,-9:Down:1556266746617:699:364:0,up:1556266746984:649-485:0,-9:Down:1556266750560:734:424:0,up:1556266750944:653-612:0,-9:Down:1556266751424:771:414:0,up:1556266752289:685-616:0,-9:Down:1556266772504:585:723:0,up:1556266772623:585-723:0,-9:Down:1556266773663:473:785:0,up:1556266773751:473-785:0,-9:Down:1556266774331:653:829:0,up:1556266774400:653-829:0",18
295,sat,1556266796545,1,1500ms,"up:1556266777639:96-93:0,up:1556266777808:96-93:0,up:1556266779551:96-93:0,up:1556266780112:96-93:0,up:1556266780528:96-93:0,up:1556266780992:96-93:0,up:1556266781232:96-93:0,up:1556266781472:96-93:0,up:1556266781720:96-93:0,up:1556266782207:96-93:0,-9:Down:1556266789320:823:364:0,up:1556266789888:727-488:0,-9:Down:1556266794272:787:311:0,up:1556266794616:593-597:0,-9:Down:1556266795465:710:368:0,up:1556266795784:455-597:0,-9:Down:1556266796280:675:360:0,up:1556266796777:679-493:0,-9:Down:1556266809928:586:710:0,up:1556266810023:586-710:0,-9:Down:1556266810305:588:716:0,up:1556266810377:588-716:0,-9:Down:1556266811335:471:776:0,up:1556266811415:471-776:0,-9:Down:1556266811952:685:824:0,up:1556266812040:685-824:0",18
296,sat,"1556266816163:10239,1556266838211:10438",1,850ms,"10239:Down:1556266835557:907:298:0,up:1556266835864:694-455:0,-9:Down:1556266836154:1146:239:0,up:1556266836616:947-473:0,-9:Down:1556266837258:1053:261:0,up:1556266837640:948-452:0,-9:Down:1556266837978:1009:301:0,up:1556266838464:838-549:0,-9:Down:1556266847348:585:723:0,up:1556266847439:585-723:0,10438:Down:1556266849392:479:775:0,up:1556266849439:476-775:0,10438:Down:1556266849769:471:780:0,up:1556266849855:471-780:0,10438:Down:1556266850369:645:838:0,up:1556266850439:645-838:0",18
297,sat,1556266866651:6499,1,600ms,"up:1556266855815:97-87:0,up:1556266856239:97-87:0,up:1556266856424:97-87:0,up:1556266856639:97-87:0,up:1556266857015:97-87:0,up:1556266857408:97-87:0,up:1556266857655:97-87:0,up:1556266857903:97-87:0,up:1556266858415:97-87:0,-9:Down:1556266863354:851:273:0,up:1556266863680:579-731:0,-9:Down:1556266866392:919:255:0,up:1556266866849:747-507:0,-9:Down:1556266872553:585:717:0,up:1556266872672:585-717:0,6499:Down:1556266876729:469:781:0,up:1556266876831:469-781:0,6499:Down:1556266877251:627:827:0,up:1556266877344:627-827:0",18
298,sat,1556266897584:10335,1,1100ms,"up:1556266879655:88-89:0,up:1556266879848:88-89:0,up:1556266880111:88-89:0,up:1556266880407:88-89:0,up:1556266880753:88-89:0,up:1556266881304:88-89:0,up:1556266881752:88-89:0,up:1556266882111:88-89:0,-9:Down:1556266888921:813:359:0,up:1556266889416:779-466:0,-9:Down:1556266890936:910:318:0,up:1556266891226:800-579:0,-9:Down:1556266896674:870:424:0,up:1556266897008:730-598:0,-9:Down:1556266897338:891:358:0,up:1556266897920:800-656:0,-9:Down:1556266903602:588:723:0,up:1556266903727:588-723:0,-9:Down:1556266907585:471:781:0,up:1556266907687:471-781:0,10335:Down:1556266908529:653:820:0,up:1556266908599:653-820:0",18
299,sat,1556266920446:4324,2,400ms,"up:1556266911136:97-81:0,up:1556266911784:97-81:0,up:1556266912032:97-81:0,up:1556266912247:97-81:0,up:1556266912495:97-81:0,up:1556266912936:97-81:0,up:1556266913472:97-81:0,up:1556266913672:97-81:0,up:1556266913880:97-81:0,up:1556266914088:97-81:0,-9:Down:1556266917778:848:315:0,up:1556266918048:640-674:0,-9:Down:1556266918648:879:378:0,up:1556266919057:680-586:0,-9:Down:1556266920080:929:301:0,up:1556266921105:848-578:0,-9:Down:1556266923314:583:720:0,up:1556266923415:583-720:0,-9:Down:1556266924753:536:783:0,up:1556266924839:536-783:0,4324:Down:1556266925274:609:822:0,up:1556266925368:609-822:0",18
300,sat,"1556266925380:476,1556266929602:976,1556266931873:170,1556266932477:333,1556266932879:147,1556266933282:31",4,1ms,"up:1556266927392:98-86:0,up:1556266927583:98-86:0,up:1556266927768:98-86:0,up:1556266928007:98-86:0,up:1556266928311:98-86:0,up:1556266928648:98-86:0,up:1556266929119:98-86:0,up:1556266929336:98-86:0,up:1556266929591:98-86:0,up:1556266930104:98-86:0,976:Down:1556266931608:818:225:0,up:1556266931905:670-557:0,170:Down:1556266932392:888:326:0,up:1556266932593:673-630:0,147:Down:1556266933121:866:357:0,up:1556266933360:809-474:0,31:Down:1556266934770:585:721:0,up:1556266934831:585-721:0,31:Down:1556266936152:668:780:0,up:1556266936215:668-780:0,31:Down:1556266936745:643:823:0,up:1556266936815:643-823:0",18
301,sat,"1556266936825:1359,1556266940859:1328,1556266942496:1237,1556266944293:1056,1556266945464:455",4,110ms,"up:1556266938648:105-91:0,up:1556266938858:105-91:0,up:1556266939112:105-91:0,up:1556266939520:105-91:0,up:1556266939744:105-91:0,up:1556266939952:105-91:0,up:1556266940160:105-91:0,up:1556266940377:105-91:0,up:1556266940856:105-91:0,up:1556266941143:105-91:0,1328:Down:1556266942272:757:192:0,up:1556266942505:504-713:0,1237:Down:1556266944074:996:342:0,up:1556266944393:418-706:0,-9:Down:1556266945233:403:523:0,up:1556266945665:505-510:0,455:Down:1556266947426:589:715:0,up:1556266947512:589-715:0,455:Down:1556266948320:668:785:0,up:1556266948447:668-785:0,455:Down:1556266949817:647:821:0,up:1556266949983:647-821:0",18
302,map,"1556267671244:15033,1556267697587:13527,1556267716507:9045,1556267743230:11778",4,1500ms,"15033:Down:1556267688598:99:162:0,up:1556267688720:99-162:0,up:1556267689423:185-166:0,up:1556267697335:160-183:0,up:1556267713856:99-85:0,-9:Down:1556267715066:597:254:0,up:1556267715736:586-296:0,up:1556267716503:94-90:0,up:1556267716719:94-90:0,up:1556267716911:94-90:0,up:1556267717631:94-90:0,9045:Down:1556267725632:787:320:0,up:1556267726856:609-554:0,-9:Down:1556267727250:613:324:0,up:1556267727753:668-602:0,-9:Down:1556267730232:762:370:0,up:1556267731256:426-738:0,-9:Down:1556267731609:747:380:0,up:1556267732057:673-491:0,-9:Down:1556267733832:690:481:0,up:1556267734768:667-483:0,up:1556267741399:104-117:0,up:1556267742983:104-117:0,11778:Down:1556267759177:582:720:0,up:1556267759351:582-720:0,11778:Down:1556267832979:668:782:0,up:1556267833112:668-782:0,11778:Down:1556267833841:750:735:0,up:1556267833927:750-735:0,11778:Down:1556267835017:509:765:0,up:1556267835600:852-757:0,11778:Down:1556267835992:851:742:0,up:1556267836071:851-742:0,11778:Down:1556267837842:616:829:0,up:1556267837944:616-829:0",19
303,map,"1556267838218:2018,1556267845248:610,1556267849504:270,1556267850136:460,1556267850936:229",4,110ms,"up:1556267843232:96-83:0,up:1556267843832:96-83:0,up:1556267844312:96-83:0,up:1556267844600:96-83:0,up:1556267844935:96-83:0,up:1556267845240:96-83:0,up:1556267845672:96-83:0,610:Down:1556267848328:627:397:0,up:1556267849506:473-631:0,270:Down:1556267849873:513:277:0,up:1556267850289:342-828:0,460:Down:1556267850680:625:462:0,up:1556267851280:335-555:0,229:Down:1556267851682:497:450:0,up:1556267852169:476-519:0,229:Down:1556267855569:554:336:0,up:1556267855696:554-336:0,229:Down:1556267858385:593:718:0,up:1556267858575:593-718:0,229:Down:1556267859457:589:718:0,up:1556267859583:589-718:0,229:Down:1556267860226:628:684:0,up:1556267860519:628-683:0,229:Down:1556267864848:667:778:0,up:1556267864984:667-778:0,229:Down:1556267867138:624:830:0,up:1556267867255:624-830:0",19
304,map,"1556267867268:4034,1556267878934:3243,1556267883796:819,1556267887498:1625",4,400ms,"4034:Down:1556267872730:97:166:0,up:1556267872849:97-166:0,up:1556267873584:156-166:0,up:1556267876136:139-191:0,up:1556267878521:104-94:0,up:1556267878705:104-94:0,up:1556267878928:104-94:0,up:1556267879408:104-94:0,-9:Down:1556267881292:640:403:0,up:1556267882801:528-572:0,3243:Down:1556267883426:685:292:0,up:1556267884137:669-574:0,819:Down:1556267885045:646:289:0,up:1556267885353:506-496:0,-9:Down:1556267885570:629:367:0,up:1556267885993:480-641:0,-9:Down:1556267886546:705:444:0,up:1556267888049:509-555:0,1625:Down:1556267890962:585:722:0,up:1556267891136:585-722:0,1625:Down:1556267895529:668:781:0,up:1556267895703:668-781:0,1625:Down:1556267899265:637:821:0,up:1556267899639:637-821:0",19
305,map,"1556267899654:6032,1556267920722:1540",3,600ms,"-9:Down:1556267904560:96:159:0,up:1556267904655:96-159:0,up:1556267905559:162-163:0,up:1556267907663:129-185:0,up:1556267911231:101-89:0,up:1556267911511:101-89:0,up:1556267911752:101-89:0,up:1556267912047:101-89:0,up:1556267912424:101-89:0,-9:Down:1556267914351:586:718:0,up:1556267914502:586-718:0,-9:Down:1556267915416:524:715:0,up:1556267915510:524-715:0,-9:Down:1556267915945:758:374:0,up:1556267916240:643-591:0,-9:Down:1556267916529:668:419:0,up:1556267916888:692-952:0,-9:Down:1556267918335:911:424:0,up:1556267919576:562-750:0,-9:Down:1556267920305:799:564:0,up:1556267921400:653-588:0,1540:Down:1556267924744:617:785:0,up:1556267924863:617-785:0,1540:Down:1556267925113:614:785:0,up:1556267925223:614-785:0,1540:Down:1556267925641:609:786:0,up:1556267925807:609-786:0,1540:Down:1556267927759:655:821:0,up:1556267928015:655-821:0",19
306,map,1556267955209,3,2000ms,"-9:Down:1556267930760:91:160:0,up:1556267930847:91-160:0,up:1556267931615:117-168:0,up:1556267934047:116-190:0,up:1556267937335:100-90:0,up:1556267937551:100-90:0,up:1556267937775:100-90:0,-9:Down:1556267941864:647:389:0,up:1556267942864:644-440:0,-9:Down:1556267944946:698:473:0,up:1556267945296:531-694:0,-9:Down:1556267946041:567:270:0,up:1556267946543:431-697:0,-9:Down:1556267951155:751:331:0,up:1556267957456:432-649:0,-9:Down:1556267964772:588:720:0,up:1556267964879:588-720:0,-9:Down:1556267965760:604:779:0,up:1556267965871:604-779:0,-9:Down:1556267966624:623:837:0,up:1556267967287:623-837:0",19
307,map,"1556267967299:254,1556267972216:150,1556267973402:87,1556267974020:90,1556267976405:34,1556267977009:52,1556267977754:10,1556267977955:17",4,1ms,"254:Down:1556267968824:96:163:0,up:1556267968911:96-163:0,up:1556267969815:126-172:0,up:1556267971967:126-182:0,up:1556267973399:94-89:0,up:1556267973648:94-89:0,up:1556267974015:94-89:0,up:1556267974375:94-89:0,up:1556267974855:94-89:0,90:Down:1556267976160:801:289:0,up:1556267976464:602-555:0,34:Down:1556267976754:538:220:0,up:1556267977051:484-706:0,52:Down:1556267977496:815:307:0,up:1556267978040:542-579:0,17:Down:1556267979431:591:724:0,up:1556267979583:591-724:0,17:Down:1556267981263:664:784:0,up:1556267981399:664-784:0,17:Down:1556267982015:651:838:0,up:1556267982183:651-838:0",19
308,map,1556267993849:7450,3,850ms,"-9:Down:1556267983696:110:168:0,up:1556267983791:110-168:0,up:1556267984575:153-166:0,up:1556267986399:130-183:0,up:1556267987576:97-79:0,up:1556267987887:97-79:0,up:1556267988567:93-81:0,up:1556267989599:93-81:0,-9:Down:1556267991296:738:272:0,up:1556267991681:388-601:0,-9:Down:1556267992200:405:327:0,up:1556267992497:491-542:0,-9:Down:1556267993112:689:205:0,up:1556267994232:394-515:0,-9:Down:1556267994752:403:510:0,up:1556267995896:305-535:0,-9:Down:1556267997808:572:329:0,up:1556267998208:548-431:0,-9:Down:1556267999368:581:715:0,up:1556267999462:581-715:0,7450:Down:1556268001503:614:783:0,up:1556268001743:614-783:0,7450:Down:1556268002135:613:783:0,up:1556268002270:613-783:0,7450:Down:1556268002575:607:784:0,up:1556268002711:607-784:0,7450:Down:1556268004215:646:821:0,up:1556268004799:646-821:0",19
309,map,1556268021300:8615,2,1100ms,"-9:Down:1556268008077:97:161:0,up:1556268008199:97-161:0,up:1556268008911:146-165:0,up:1556268010831:128-190:0,up:1556268012191:88-89:0,up:1556268012743:88-89:0,up:1556268013271:88-89:0,-9:Down:1556268015552:704:329:0,up:1556268016880:494-656:0,-9:Down:1556268017520:530:317:0,up:1556268018136:337-636:0,-9:Down:1556268018585:653:352:0,up:1556268021560:378-699:0,-9:Down:1556268023991:585:719:0,up:1556268024135:585-719:0,-9:Down:1556268028544:540:784:0,up:1556268030647:537-783:0,8615:Down:1556268031520:656:839:0,up:1556268031791:656-839:0",19
310,sat,"1556268031979:7058,1556268067248:2846",4,600ms,"7058:Down:1556268041086:95:159:0,up:1556268041176:95-159:0,up:1556268041815:122-162:0,7058:Down:1556268043522:242:156:0,up:1556268043697:242-156:0,up:1556268044743:152-158:0,up:1556268047879:126-195:0,up:1556268050215:98-83:0,up:1556268050567:98-83:0,up:1556268050951:98-83:0,up:1556268051175:98-83:0,-9:Down:1556268055009:706:399:0,up:1556268058272:538-719:0,-9:Down:1556268058706:583:323:0,up:1556268059520:421-667:0,-9:Down:1556268062648:778:374:0,up:1556268065760:498-669:0,-9:Down:1556268066841:559:475:0,up:1556268067480:538-518:0,-9:Down:1556268069650:593:724:0,up:1556268069807:593-724:0,2846:Down:1556268070249:585:709:0,up:1556268070375:585-709:0,2846:Down:1556268070807:583:720:0,up:1556268070911:583-720:0,2846:Down:1556268071624:661:787:0,up:1556268071719:661-787:0,2846:Down:1556268072320:666:781:0,up:1556268072400:666-781:0,2846:Down:1556268075256:618:838:0,up:1556268076455:619-838:0",19
311,sat,"1556268076471:476,1556268083543:602,1556268086159:1189,1556268090631:303,1556268091553:149,1556268091756:224",4,1ms,"476:Down:1556268079169:92:155:0,up:1556268079287:92-155:0,up:1556268079991:104-160:0,up:1556268082103:123-178:0,up:1556268083287:123-181:0,up:1556268085743:99-76:0,up:1556268086151:99-76:0,up:1556268086809:99-76:0,up:1556268087055:99-76:0,1189:Down:1556268090336:749:294:0,up:1556268090713:511-636:0,303:Down:1556268091264:613:236:0,up:1556268092088:293-666:0,224:Down:1556268092448:480:352:0,up:1556268093099:387-519:0,224:Down:1556268095583:581:721:0,up:1556268095687:581-721:0,224:Down:1556268096575:667:788:0,up:1556268096695:667-788:0,224:Down:1556268098487:647:821:0,up:1556268099015:647-821:0",19
312,sat,"1556268099026:1362,1556268105441:1344,1556268107405:1847,1556268109933:472,1556268112012:806,1556268113178:788",4,110ms,"1362:Down:1556268102089:106:174:0,up:1556268102167:106-174:0,up:1556268102943:140-166:0,up:1556268105183:142-184:0,up:1556268106991:100-85:0,up:1556268107400:100-85:0,up:1556268107816:100-85:0,1847:Down:1556268109409:746:391:0,up:1556268110184:570-635:0,472:Down:1556268110826:589:290:0,up:1556268111384:558-473:0,472:Down:1556268111721:626:317:0,up:1556268112200:456-558:0,-9:Down:1556268112728:636:319:0,up:1556268113472:448-433:0,788:Down:1556268114200:589:333:0,up:1556268116040:495-493:0,788:Down:1556268117159:583:717:0,up:1556268117303:583-717:0,788:Down:1556268118311:670:784:0,up:1556268118415:670-784:0,788:Down:1556268119952:658:832:0,up:1556268120223:658-831:0",19
313,sat,"1556268120235:4827,1556268138154:2883",4,400ms,"-9:Down:1556268123163:93:161:0,up:1556268123263:93-161:0,up:1556268123959:112-169:0,up:1556268125799:113-182:0,up:1556268127352:96-85:0,up:1556268127703:96-85:0,up:1556268128167:96-85:0,-9:Down:1556268129824:586:357:0,up:1556268130464:526-426:0,-9:Down:1556268131081:731:285:0,up:1556268131680:586-571:0,-9:Down:1556268132719:645:254:0,up:1556268134208:398-683:0,-9:Down:1556268135226:784:334:0,up:1556268136544:613-507:0,-9:Down:1556268137856:589:420:0,up:1556268138264:540-480:0,-9:Down:1556268140314:591:723:0,up:1556268140423:591-723:0,2883:Down:1556268141472:669:784:0,up:1556268141591:669-784:0,2883:Down:1556268144552:641:825:0,up:1556268144911:641-825:0",19
314,sat,1556268168482,3,850ms,"-9:Down:1556268147764:98:156:0,up:1556268147903:98-156:0,up:1556268148607:114-165:0,up:1556268150663:133-187:0,up:1556268156431:113-87:0,up:1556268156856:113-87:0,up:1556268157151:113-87:0,up:1556268158025:103-88:0,-9:Down:1556268159232:703:414:0,up:1556268159848:669-424:0,-9:Down:1556268160952:640:267:0,-9:Down:1556268161320:520:559:2,up:1556268161447:511-598:2,-9:Down:1556268161980:567:382:0,up:1556268162456:440-611:0,-9:Down:1556268164402:622:268:0,up:1556268165784:313-582:0,-9:Down:1556268166297:607:401:0,up:1556268166848:470-496:0,-9:Down:1556268168185:511:488:0,up:1556268169352:508-563:0,-9:Down:1556268173959:540:534:0,up:1556268174552:567-553:0,-9:Down:1556268175664:588:723:0,up:1556268175799:588-723:0,-9:Down:1556268177035:605:776:0,up:1556268177135:605-776:0,-9:Down:1556268180074:650:832:0,up:1556268180439:650-832:0",19
315,sat,1556268222136,1,1500ms,"-9:Down:1556268181828:110:161:0,up:1556268181928:110-161:0,up:1556268182591:114-169:0,up:1556268184591:122-180:0,up:1556268186087:101-82:0,up:1556268186399:101-82:0,up:1556268186695:101-82:0,up:1556268187015:101-82:0,-9:Down:1556268189986:657:425:0,up:1556268190656:598-515:0,-9:Down:1556268194060:690:353:0,up:1556268195217:485-513:0,-9:Down:1556268196026:510:285:0,up:1556268197696:393-581:0,-9:Down:1556268199723:437:559:0,up:1556268201409:420-752:0,-9:Down:1556268206479:536:784:0,up:1556268206631:536-784:0,-9:Down:1556268207084:1028:275:0,up:1556268208064:906-451:0,-9:Down:1556268210081:855:468:0,up:1556268210528:878-133:0,-9:Down:1556268211466:824:226:0,up:1556268212224:720-457:0,-9:Down:1556268215770:687:446:0,up:1556268216232:645-557:0,-9:Down:1556268217609:475:789:0,up:1556268217767:475-789:0,-9:Down:1556268218673:480:780:0,up:1556268218782:477-783:0,-9:Down:1556268218969:474:783:0,up:1556268219063:474-783:0,-9:Down:1556268221899:661:414:0,up:1556268222328:670-476:0,-9:Down:1556268222792:682:403:0,up:1556268223097:705-466:0,-9:Down:1556268226417:584:719:0,up:1556268226543:584-719:0,-9:Down:1556268228172:643:539:0,up:1556268228608:625-561:0,-9:Down:1556268229232:630:827:0,up:1556268229391:630-827:0",19
316,sat,1556268272505,1,2000ms,"-9:Down:1556268233027:98:162:0,up:1556268233128:98-162:0,up:1556268233640:124-153:0,up:1556268236839:116-185:0,up:1556268237799:95-83:0,up:1556268238063:95-83:0,up:1556268238272:95-83:0,up:1556268238495:95-83:0,-9:Down:1556268244305:646:421:0,up:1556268245264:574-493:0,-9:Down:1556268246600:700:263:0,up:1556268250144:589-427:0,-9:Down:1556268250992:601:307:0,up:1556268251793:451-749:0,-9:Down:1556268253000:669:479:0,up:1556268255896:575-580:0,-9:Down:1556268260211:645:429:0,up:1556268260848:442-606:0,-9:Down:1556268265920:629:533:0,up:1556268266416:743-278:0,-9:Down:1556268268714:738:241:0,up:1556268269576:613-503:0,-9:Down:1556268271145:477:786:0,up:1556268271272:474-786:0,-9:Down:1556268272146:713:336:0,up:1556268272585:710-385:0,-9:Down:1556268285865:589:729:0,up:1556268286071:589-729:0,-9:Down:1556268286794:588:725:0,up:1556268286911:588-725:0,-9:Down:1556268288041:632:826:0,up:1556268289097:632-826:0",19
317,sat,1556268317216,1,1100ms,"-9:Down:1556268290701:86:162:0,up:1556268290791:86-162:0,up:1556268291423:127-166:0,up:1556268293543:127-184:0,up:1556268294383:105-94:0,up:1556268294552:105-94:0,up:1556268294752:105-94:0,-9:Down:1556268295684:739:441:0,up:1556268296088:711-550:0,-9:Down:1556268300155:726:255:0,up:1556268300944:567-692:0,-9:Down:1556268302600:728:329:0,up:1556268306352:376-717:0,-9:Down:1556268307128:731:360:0,up:1556268311600:869-168:0,-9:Down:1556268312922:851:438:0,up:1556268313352:710-585:0,-9:Down:1556268314864:474:789:0,up:1556268315031:474-789:0,-9:Down:1556268315817:474:782:0,up:1556268315903:474-782:0,-9:Down:1556268316579:700:332:0,up:1556268317218:683-450:0,-9:Down:1556268318113:591:715:0,up:1556268318239:591-715:0,-9:Down:1556268319369:635:824:0,up:1556268321103:635-824:0",19
318,map,"1556617709882:8713,1556617734306:7706,1556617749885:6930,1556617760729:3444,1556617766319:3266,1556617777118:8307",4,850ms,"8713:Down:1556617721216:89:162:0,up:1556617721403:89-162:0,up:1556617734051:140-193:0,up:1556617746371:94-88:0,up:1556617749875:105-89:0,6930:Down:1556617760366:831:268:0,up:1556617761572:466-661:0,3444:Down:1556617765852:717:345:0,up:1556617766692:526-653:0,up:1556617773835:97-116:0,up:1556617776859:97-116:0,-9:Down:1556617784603:587:722:0,up:1556617784795:587-722:0,8307:Down:1556617792429:665:782:0,up:1556617792619:665-782:0,8307:Down:1556617795659:628:828:0,up:1556617795915:628-828:0",20
319,map,"1556617796189:5821,1556617810295:5501,1556617821283:4939,1556617828255:1228,1556617833007:1436",3,600ms,"5821:Down:1556617804992:94:161:0,up:1556617805259:94-161:0,up:1556617810035:143-188:0,-9:Down:1556617815488:365:158:0,up:1556617815683:365-158:0,up:1556617818723:99-86:0,up:1556617821274:96-87:0,up:1556617824411:96-87:0,4939:Down:1556617827261:802:300:0,up:1556617829012:692-629:0,1228:Down:1556617829987:689:359:0,up:1556617831140:465-563:0,-9:Down:1556617832453:869:275:0,up:1556617833923:741-463:0,1436:Down:1556617840524:588:720:0,up:1556617840747:588-720:0,1436:Down:1556617844100:608:781:0,up:1556617844387:608-781:0,1436:Down:1556617845699:649:833:0,up:1556617845939:649-833:0",20
320,map,"1556617845950:14139,1556617887358",4,1500ms,"-9:Down:1556617856902:94:176:0,up:1556617857066:94-176:0,up:1556617860578:109-189:0,up:1556617865586:97-85:0,up:1556617866658:97-85:0,up:1556617867866:97-85:0,-9:Down:1556617873718:789:266:0,up:1556617874915:749-590:0,-9:Down:1556617878221:700:343:0,up:1556617879267:625-586:0,-9:Down:1556617881796:796:428:0,up:1556617882507:595-616:0,up:1556617885530:102-116:0,up:1556617887114:102-116:0,-9:Down:1556617891252:586:725:0,up:1556617891450:586-725:0,-9:Down:1556617893611:666:782:0,up:1556617893770:666-782:0,-9:Down:1556617894467:645:826:0,up:1556617894650:645-826:0",20
321,map,1556617932241,4,1800ms,"-9:Down:1556617897684:100:166:0,up:1556617897922:100-166:0,up:1556617902890:129-195:0,up:1556617907594:101-83:0,up:1556617908794:101-83:0,up:1556617910050:101-83:0,-9:Down:1556617917109:774:296:0,up:1556617919563:736-568:0,-9:Down:1556617920524:820:271:0,up:1556617921379:609-624:0,-9:Down:1556617926706:808:367:0,up:1556617927467:628-584:0,up:1556617930987:99-114:0,up:1556617931994:99-114:0,-9:Down:1556617933962:587:718:0,up:1556617934170:587-718:0,-9:Down:1556617935763:666:790:0,up:1556617935938:666-790:0,-9:Down:1556617936619:669:784:0,up:1556617936810:669-784:0,-9:Down:1556617937835:645:829:0,up:1556617938050:645-829:0",20
322,map,"1556617938310:501,1556617944168:14,1556617946694:88,1556617947807:90,1556617953539:43,1556617955279:43,1556617961093:24,1556617961342:177,1556617962094:36,1556617962343:165",4,1ms,"501:Down:1556617940190:91:161:0,up:1556617940378:91-161:0,up:1556617943906:91-184:0,up:1556617946690:94-89:0,up:1556617947802:94-89:0,up:1556617949090:94-89:0,90:Down:1556617952654:835:274:0,up:1556617954059:668-654:0,43:Down:1556617954939:864:294:0,up:1556617959051:677-613:0,up:1556617961090:102-122:0,up:1556617962091:102-122:0,165:Down:1556617965363:589:717:0,up:1556617965530:589-717:0,165:Down:1556617967067:673:782:0,up:1556617967258:673-782:0,165:Down:1556617970868:636:831:0,up:1556617971074:636-831:0",20
323,map,1556618012762,4,2000ms,"-9:Down:1556617973700:97:173:0,up:1556617973898:97-173:0,up:1556617978258:109-186:0,up:1556617981666:101-81:0,up:1556617982626:101-81:0,-9:Down:1556617986836:779:242:0,up:1556617987819:702-479:0,-9:Down:1556617988548:764:158:0,up:1556617989250:617-364:0,-9:Down:1556617994420:685:322:0,up:1556617995083:576-523:0,-9:Down:1556618002628:729:295:0,up:1556618003387:520-540:0,up:1556618011778:108-120:0,up:1556618012506:108-120:0,-9:Down:1556618014645:588:718:0,up:1556618014810:588-718:0,-9:Down:1556618016851:673:782:0,up:1556618017027:673-782:0,-9:Down:1556618018897:645:829:0,up:1556618019081:645-829:0",20
