id,type,iLTs,miLT,ACR,latency,no_click,TCiL,subject
247,map,"[5399, 11885]",8642.0,1,1500ms,17,1,9
248,map,[8746],8746.0,5,850ms,5,1,23
249,map,"[13663, 6020, 3030, 12546]",8814.0,2,1500ms,9,4,3
250,map,"[15078, 3178, 7952, 3069, 14902]",8835.0,3,110ms,14,5,11
251,map,"[14672, 9002, 9671, 2767]",9028.0,4,1800ms,28,11,28
252,sat,"[10283, 10243, 3415, 12429]",9092.0,1,850ms,11,2,9
253,map,[9125],9125.0,4,2000ms,10,2,26
254,sat,"[9461, 9285]",9373.0,5,850ms,4,3,14
255,map,"[11057, 8937, 9917, 8845, 8004, 13008]",9961.0,3,1100ms,7,3,18
256,map,[10261],10261.0,4,1500ms,23,2,28
257,sat,[10335],10335.0,1,1100ms,7,1,18
258,sat,"[10239, 10438]",10338.0,1,850ms,8,4,18
259,map,[10338],10338.0,4,1500ms,7,1,15
260,map,[10791],10791.0,3,1100ms,21,3,22
261,map,[10791],10791.0,3,1100ms,9,1,17
262,map,[11110],11110.0,2,1100ms,3,3,7
263,map,"[14090, 13570, 6768]",11476.0,1,1500ms,10,4,4
264,map,"[12765, 11777]",12271.0,1,1500ms,7,1,6
265,map,"[15033, 13527, 9045, 11778]",12345.0,4,1500ms,13,8,19
266,map,"[20104, 7688, 7256, 15810]",12714.0,3,2000ms,8,5,10
267,sat,"[13303, 12196]",12749.0,3,1100ms,5,5,14
268,map,"[14773, 9029, 16357]",13386.0,4,1500ms,4,3,14
269,map,"[14441, 13161, 14977]",14193.0,2,1800ms,9,3,4
270,sat,"[12995, 13239, 16916]",14383.0,2,1100ms,8,1,4
271,map,"[17215, 14961, 11743]",14639.0,4,1800ms,8,2,23
272,map,[14776],14776.0,1,1500ms,3,2,7
273,map,[15088],15088.0,5,1800ms,4,3,24
274,map,"[20043, 16047, 9459, 15792]",15335.0,3,2000ms,16,5,28
275,sat,"[14184, 13231, 18574, 16265]",15563.0,4,1100ms,9,3,10
276,map,"[18039, 16220, 15953, 16056]",16567.0,2,1800ms,10,4,21
277,sat,[17483],17483.0,3,1100ms,15,2,28
278,sat,"[18043, 18036]",18039.0,1,1500ms,8,8,4
279,sat,[18064],18064.0,4,1500ms,4,4,14
280,map,"[19783, 16511]",18147.0,2,2000ms,8,4,3
281,map,"[19266, 18026, 18608, 18188]",18522.0,4,2000ms,7,2,14
282,map,"[20072, 17907]",18989.0,2,2000ms,22,5,13
283,map,"[20077, 18087]",19082.0,1,2000ms,4,3,25
284,map,[20079],20079.0,3,2000ms,4,4,7
285,sat,"[18046, 18028, 25631]",20568.0,2,1500ms,9,3,10
286,map,"[20092, 22083]",21087.0,3,2000ms,9,3,17
287,sat,[25000],25000.0,1,2000ms,8,1,3
288,map,,,1,1500ms,12,0,1
289,map,,,1,2000ms,12,0,1
290,map,,,1,850ms,10,0,1
291,map,,,1,1100ms,13,0,1
292,sat,,,1,1100ms,17,4,1
293,sat,,,1,2000ms,9,0,1
294,sat,,,2,600ms,12,2,1
295,sat,,,1,1500ms,4,0,1
296,sat,,,1,850ms,11,0,1
297,map,,,3,850ms,13,3,2
298,map,,,3,1100ms,15,0,2
299,map,,,1,2000ms,44,1,2
300,sat,,,1,1500ms,11,0,2
301,sat,,,1,2000ms,12,0,2
302,sat,,,1,1100ms,20,0,2
303,sat,,,2,600ms,39,0,2
304,sat,,,2,400ms,15,2,2
305,sat,,,1,850ms,30,0,2
306,map,,,2,1100ms,7,3,3
307,sat,,,1,1500ms,9,3,3
308,sat,,,1,1100ms,7,0,3
309,map,,,1,2000ms,10,3,4
310,map,,,3,1100ms,7,0,4
311,sat,,,2,850ms,6,0,4
312,sat,,,1,2000ms,9,0,4
313,map,,,1,2000ms,4,0,5
314,map,,,1,1500ms,7,0,5
315,sat,,,1,850ms,7,1,5
316,sat,,,3,400ms,10,0,5
317,sat,,,2,600ms,11,1,5
318,sat,,,1,2000ms,4,0,5
319,sat,,,2,1100ms,7,0,5
320,sat,,,1,1500ms,5,0,5
321,map,,,2,1800ms,7,1,6
322,map,,,1,2000ms,7,0,6
323,map,,,2,1100ms,7,1,6
324,sat,,,1,1100ms,6,1,6
325,sat,,,1,1500ms,5,1,6
326,sat,,,3,850ms,6,0,6
327,sat,,,1,2000ms,7,0,6
328,map,,,4,1800ms,8,0,7
329,sat,,,3,2000ms,9,1,7
330,sat,,,3,850ms,3,0,7
331,sat,,,3,1500ms,9,0,7
332,sat,,,3,1100ms,5,0,7
333,map,,,1,2000ms,4,0,8
334,map,,,1,1500ms,3,0,8
335,map,,,2,850ms,4,0,8
336,map,,,2,1100ms,3,0,8
337,map,,,1,1800ms,4,0,8
338,sat,,,1,1500ms,3,0,8
339,sat,,,1,2000ms,3,0,8
340,sat,,,1,850ms,5,0,8
341,sat,,,2,400ms,7,1,8
342,sat,,,1,1100ms,4,0,8
343,map,,,2,1100ms,10,2,9
344,map,,,1,2000ms,14,0,9
345,map,,,1,1800ms,10,0,9
346,sat,,,1,1100ms,14,1,9
347,sat,,,1,1500ms,9,0,9
348,sat,,,1,2000ms,4,0,9
349,map,,,3,1100ms,10,1,10
350,map,,,3,1500ms,12,4,10
351,map,,,2,1800ms,9,0,10
352,sat,,,3,600ms,7,2,10
353,sat,,,3,850ms,15,0,10
354,sat,,,2,2000ms,7,1,10
355,map,,,3,1100ms,9,0,11
356,map,,,2,1500ms,12,0,11
357,map,,,2,2000ms,12,0,11
358,sat,,,3,1100ms,12,0,11
359,sat,,,1,2000ms,11,0,11
360,sat,,,2,850ms,11,0,11
361,sat,,,2,1500ms,10,0,11
362,map,,,2,1500ms,6,0,12
363,map,,,2,1100ms,7,0,12
364,map,,,2,2000ms,7,0,12
365,map,,,3,850ms,6,0,12
366,sat,,,2,1100ms,8,0,12
367,sat,,,1,2000ms,6,0,12
368,sat,,,1,1500ms,8,0,12
369,sat,,,2,850ms,7,0,12
370,map,,,2,1100ms,15,0,13
371,map,,,3,600ms,20,1,13
372,map,,,1,1500ms,15,0,13
373,sat,,,1,1100ms,19,0,13
