,type,iLTs,miLT,ACR,net_delay,no_click,TCiL,subject
358,sat,[24093],24093.0,1,2000,7,1,6
359,sat,[25000],25000.0,1,2000,8,1,3
360,sat,"[24049, 24092, 28658]",25599.666666666668,2,2000,7,3,10
361,sat,[26327],26327.0,1,2000,9,1,20
362,map,[],,1,1500,12,0,1
363,map,[],,1,2000,12,0,1
364,sat,[],,1,2000,9,0,1
365,sat,[],,1,1500,4,0,1
366,sat,[],,1,850,11,0,1
367,sat,[],,1,1500,11,0,2
368,sat,[],,1,2000,12,0,2
369,sat,[],,1,1100,20,0,2
370,sat,[],,2,600,39,0,2
371,sat,[],,1,850,30,0,2
372,map,[],,1,2000,4,0,5
373,sat,[],,1,850,7,0,5
374,sat,[],,1,2000,4,0,5
375,sat,[],,2,1100,7,0,5
376,sat,[],,1,1500,5,0,5
377,map,[],,1,2000,7,0,6
378,map,[],,4,1800,8,0,7
379,sat,[],,3,2000,9,0,7
380,sat,[],,3,1500,9,0,7
381,sat,[],,3,1100,5,0,7
382,map,[],,1,2000,4,0,8
383,map,[],,1,1500,3,0,8
384,map,[],,2,850,4,0,8
385,map,[],,2,1100,3,0,8
386,map,[],,1,1800,4,0,8
387,sat,[],,1,1500,3,0,8
388,sat,[],,1,2000,3,0,8
389,sat,[],,1,850,5,0,8
390,sat,[],,1,1100,4,0,8
391,sat,[],,1,2000,4,0,9
392,map,[],,2,1800,9,0,10
393,map,[],,3,1100,9,0,11
394,map,[],,2,1500,12,0,11
395,map,[],,2,2000,12,0,11
396,sat,[],,3,1100,12,0,11
397,sat,[],,1,2000,11,0,11
398,sat,[],,2,850,11,0,11
399,sat,[],,2,1500,10,0,11
400,map,[],,2,1500,6,0,12
401,map,[],,2,1100,7,0,12
402,map,[],,2,2000,7,0,12
403,map,[],,3,850,6,0,12
404,sat,[],,1,2000,6,0,12
405,sat,[],,1,1500,8,0,12
406,sat,[],,2,850,7,0,12
407,map,[],,2,1100,15,0,13
408,map,[],,1,1500,15,0,13
409,sat,[],,1,1100,19,0,13
410,sat,[],,2,600,22,0,13
411,sat,[],,1,2000,24,0,13
412,sat,[],,1,850,22,0,13
413,sat,[],,1,1500,23,0,13
414,map,[],,4,2000,7,0,15
415,sat,[],,1,1500,8,0,15
416,sat,[],,1,2000,11,0,15
417,sat,[],,2,850,10,0,15
418,sat,[],,3,400,9,0,15
419,sat,[],,1,1100,14,0,15
420,map,[],,2,850,16,0,16
421,map,[],,1,1500,20,0,16
422,sat,[],,1,1500,23,0,16
423,sat,[],,2,1100,23,0,16
424,sat,[],,1,2000,20,0,16
425,sat,[],,1,850,23,0,16
426,map,[],,2,1500,8,0,17
427,sat,[],,2,1100,9,0,17
428,sat,[],,1,2000,20,0,17
429,sat,[],,2,1500,15,0,17
430,sat,[],,3,850,9,0,17
431,map,[],,1,2000,8,0,18
432,map,[],,1,1500,8,0,18
433,map,[],,1,850,6,0,18
434,sat,[],,1,2000,8,0,18
435,sat,[],,1,1500,8,0,18
436,map,[],,3,2000,8,0,19
437,sat,[],,3,850,12,0,19
438,sat,[],,1,1500,18,0,19
439,sat,[],,1,2000,13,0,19
440,sat,[],,1,1100,11,0,19
441,map,[],,4,1800,8,0,20
442,map,[],,4,2000,8,0,20
443,map,[],,4,1100,8,0,20
444,sat,[],,3,1500,9,0,20
445,sat,[],,3,850,8,0,20
446,sat,[],,2,2000,9,0,21
447,sat,[],,1,1500,15,0,21
448,map,[],,3,1800,14,0,22
449,map,[],,2,2000,13,0,22
450,map,[],,3,1500,24,0,22
451,sat,[],,1,2000,28,0,22
452,sat,[],,1,1500,24,0,22
453,sat,[],,3,850,15,0,22
454,map,[],,4,2000,8,0,23
455,sat,[],,3,1500,10,0,23
456,sat,[],,4,2000,8,0,23
457,sat,[],,4,1100,8,0,23
458,sat,[],,4,850,7,0,23
459,map,[],,4,2000,10,0,24
460,sat,[],,3,2000,10,0,24
461,sat,[],,4,1500,7,0,24
462,sat,[],,3,1100,7,0,24
463,sat,[],,5,850,4,0,24
464,map,[],,2,850,11,0,25
465,sat,[],,1,2000,19,0,25
466,sat,[],,1,850,11,0,25
467,sat,[],,1,1100,17,0,25
468,sat,[],,1,1500,14,0,25
469,map,[],,4,1800,7,0,26
470,sat,[],,4,2000,8,0,26
471,map,[],,1,1800,15,0,27
472,map,[],,2,2000,19,0,27
473,map,[],,2,1500,12,0,27
474,sat,[],,1,2000,17,0,27
475,sat,[],,1,850,13,0,27
476,sat,[],,1,1100,19,0,27
477,sat,[],,1,1500,23,0,27
478,sat,[],,2,2000,17,0,28
