,type,iLTs,miLT,ACR,net_delay,no_click,TCiL,subject
123,sat,"[2438, 2422, 3284, 820, 1704, 609, 2199, 2744]",2027.5,4,200,14,8,28
124,map,"[4067, 3263, 820, 1264, 814]",2045.6,4,400,11,5,23
125,sat,"[2460, 2513, 2150, 1997, 1229]",2069.8,3,200,8,5,4
126,sat,"[2429, 2447, 1226, 2469]",2142.75,4,200,8,4,8
127,sat,"[2683, 2271, 2435, 3375, 1623, 1622, 859, 2339]",2150.875,4,200,9,8,10
128,sat,"[2468, 2452, 3342, 836, 1623, 1419, 3046]",2169.4285714285716,3,200,7,7,6
129,map,[2206],2206.0,4,1100,14,1,26
130,map,"[4798, 2453, 810, 812, 2336]",2241.8,3,400,16,5,13
131,map,"[3762, 3234, 1515, 823, 1975]",2261.8,3,400,19,5,16
132,map,"[3776, 3229, 3644, 3288, 894, 1641, 818, 817]",2263.375,5,400,8,8,14
133,map,"[4036, 3709, 811, 1442, 1438, 1016, 1616, 2995, 3786]",2316.5555555555557,3,400,14,9,27
134,map,"[4064, 3259, 826, 1163]",2328.0,3,400,9,4,5
135,map,"[4870, 3118, 1207, 2449, 138]",2356.4,4,600,15,5,22
136,map,"[4034, 3243, 819, 1625]",2430.25,4,400,9,4,19
137,map,"[3633, 3624, 3272, 1622, 1203, 1257]",2435.1666666666665,4,400,8,6,10
138,sat,"[2456, 2486]",2471.0,4,200,5,2,24
139,map,"[2902, 3641, 3269, 1655, 1642, 1965]",2512.3333333333335,2,400,8,6,8
140,sat,"[2488, 2781]",2634.5,4,200,12,2,25
141,map,"[3641, 3223, 817, 928, 4592]",2640.2,4,400,8,5,20
142,map,"[3760, 3690, 1413, 1767]",2657.5,3,400,9,4,6
143,map,[2675],2675.0,2,600,6,1,18
144,map,"[3634, 3623, 2024, 2439, 2231, 2458]",2734.8333333333335,4,400,17,6,28
145,map,"[4033, 3627, 2968, 813, 1624, 3377]",2740.3333333333335,3,400,7,6,22
146,map,"[3786, 1475, 2985]",2748.6666666666665,5,400,8,3,24
147,map,"[3704, 2556, 2030]",2763.3333333333335,4,400,9,3,7
148,map,"[4099, 3633, 3277, 1716, 851, 3831]",2901.1666666666665,4,400,8,6,3
149,map,"[3798, 3253, 1626, 3003]",2920.0,1,400,11,4,1
150,map,"[2444, 2654, 3778]",2958.6666666666665,4,400,4,3,21
151,map,"[4307, 3635, 3232, 806, 2827]",2961.4,3,400,16,5,2
152,map,"[5439, 5486, 3374, 1215, 1212, 1811, 2464, 2771]",2971.5,2,600,9,8,9
153,sat,[3035],3035.0,4,600,10,1,23
154,map,[3040],3040.0,2,1500,23,1,2
155,map,"[3770, 3275, 2454, 2681]",3045.0,5,400,8,4,15
156,map,"[5789, 5467, 1758, 1210, 1221]",3089.0,3,600,31,5,2
157,sat,"[4639, 2824, 1839]",3100.6666666666665,3,400,10,3,5
158,map,"[3856, 2817, 2650]",3107.6666666666665,3,400,8,3,12
159,map,"[4065, 3639, 1889]",3197.6666666666665,4,400,7,3,17
160,sat,"[4944, 1609, 3170, 2446, 3251, 3781]",3200.1666666666665,3,400,19,6,28
161,map,"[3780, 3651, 3652, 1782]",3216.25,4,400,5,4,4
162,map,"[4072, 3618, 2018]",3236.0,3,400,7,3,25
163,sat,[3268],3268.0,4,200,5,1,7
164,map,"[6172, 3671, 4270, 1218, 4855, 1209, 1817]",3316.0,4,600,12,7,10
165,map,"[3774, 3027]",3400.5,3,400,12,2,11
166,map,"[4850, 1217, 2779, 4769]",3403.75,3,600,9,4,5
167,sat,[3438],3438.0,2,600,11,1,11
168,map,[3547],3547.0,2,1100,10,1,9
169,sat,"[4826, 4965, 1664, 3011, 2098, 5031]",3599.1666666666665,3,400,7,6,26
170,map,"[6088, 5538, 3632, 2426, 1220, 1230, 5209]",3620.4285714285716,4,600,20,7,28
171,sat,"[4856, 6456, 1637, 1625]",3643.5,4,400,15,4,22
172,sat,"[4832, 4835, 1543]",3736.6666666666665,2,400,15,3,2
173,sat,"[4689, 4464, 1769, 4198]",3780.0,4,400,8,4,20
174,map,"[5821, 5501, 4939, 1228, 1436]",3785.0,3,600,8,5,20
175,map,"[6032, 1540]",3786.0,3,600,11,2,19
176,sat,[3792],3792.0,3,400,9,1,11
177,sat,"[4827, 2883]",3855.0,4,400,9,2,19
178,map,"[5915, 2065]",3990.0,2,600,4,2,8
179,sat,"[4613, 4849, 2434, 4247]",4035.75,2,400,12,4,1
180,map,"[6063, 3684, 2294, 1222, 6995]",4051.6,3,600,8,5,26
181,map,"[6055, 1845, 4304]",4068.0,1,600,11,3,1
182,map,[4175],4175.0,4,600,6,1,21
183,map,"[6887, 4148, 1717, 3218, 5159]",4225.8,2,850,23,5,9
184,sat,"[4636, 3826]",4231.0,2,400,6,2,12
185,map,"[8566, 7689, 6946, 1713, 1712, 2812, 1729, 2835]",4250.25,4,850,13,8,26
186,map,"[187, 6823, 5741]",4250.333333333333,3,850,11,3,5
187,sat,"[4844, 4431, 4450, 4261, 3292]",4255.6,4,400,5,5,14
188,sat,[4324],4324.0,2,400,6,1,18
189,sat,"[4822, 6459, 1622, 2546, 6207]",4331.2,3,400,9,5,9
190,map,"[6680, 1652, 4662]",4331.333333333333,3,600,11,3,11
191,map,"[6033, 5428, 3541, 2416]",4354.5,3,600,7,4,3
192,sat,[4443],4443.0,1,1100,8,1,20
193,map,"[5789, 5548, 3879, 2783]",4499.75,3,600,15,4,16
194,sat,"[4029, 4861, 4610]",4500.0,3,400,15,3,27
195,map,"[6178, 5431, 5368, 1209]",4546.5,2,600,12,4,27
196,map,"[5469, 3644]",4556.5,4,600,7,2,23
197,map,"[6024, 5427, 4281, 2888]",4655.0,2,600,10,4,25
198,map,"[5773, 3655]",4714.0,3,600,20,2,13
199,sat,"[5014, 4839, 6501, 2571]",4731.25,3,400,8,4,6
200,sat,"[4644, 4883]",4763.5,5,400,4,2,24
201,map,"[5814, 5479, 5050, 3021]",4841.0,3,600,8,4,4
202,sat,"[4850, 4908]",4879.0,2,400,7,2,8
203,sat,"[4902, 4875]",4888.5,2,400,11,2,25
204,sat,"[4644, 4951, 7608, 2574]",4944.25,3,400,7,4,4
205,map,"[9599, 6828, 7699, 6853, 2846, 4940, 3228, 1714, 859]",4951.777777777777,4,850,31,9,28
206,sat,"[7058, 2846]",4952.0,4,600,12,2,19
207,sat,"[7244, 2667]",4955.5,2,600,14,2,27
208,sat,"[7226, 7289, 2434, 4820, 3465]",5046.8,3,600,7,5,10
209,map,"[6059, 5553, 4931, 2900, 5795]",5047.6,5,600,8,5,15
210,sat,"[4850, 4855, 5462]",5055.666666666667,3,400,13,3,21
211,sat,"[6115, 4040]",5077.5,4,400,7,2,23
212,sat,"[4612, 5431, 5583]",5208.666666666667,2,400,16,3,16
213,sat,"[4831, 6705, 3473, 5827]",5209.0,3,400,12,4,10
214,map,"[6033, 4422]",5227.5,4,600,7,2,17
215,map,"[6969, 5427, 3974, 4600]",5242.5,2,600,7,4,6
216,sat,"[5645, 4921]",5283.0,3,400,19,2,13
217,sat,[5404],5404.0,1,600,16,1,25
218,sat,"[2443, 8479]",5461.0,4,600,7,2,7
219,map,[5481],5481.0,3,600,7,1,12
220,map,"[4701, 3700, 8302]",5567.666666666667,3,850,8,3,21
221,map,"[4531, 6668]",5599.5,2,850,10,2,11
222,map,"[5763, 5463]",5613.0,4,600,4,2,24
223,sat,"[6965, 7240, 2770]",5658.333333333333,3,600,7,3,6
224,map,"[8536, 7675, 6915, 1717, 2558, 3023, 9906]",5761.428571428572,4,850,6,7,14
225,sat,"[4851, 4973, 7567]",5797.0,2,400,6,3,3
226,map,"[5616, 6016]",5816.0,5,850,9,2,15
227,map,[5826],5826.0,4,1500,13,1,26
228,sat,"[5273, 6517]",5895.0,4,400,6,2,7
229,sat,"[6969, 7236, 3695]",5966.666666666667,2,600,13,3,9
230,map,"[8531, 7791, 5990, 6856, 1712, 4923]",5967.166666666667,3,850,11,6,10
231,sat,"[7306, 3011, 7609]",5975.333333333333,4,600,8,3,26
232,map,[6007],6007.0,1,1800,7,1,5
233,map,"[6632, 5471]",6051.5,2,1100,8,2,5
234,map,[6066],6066.0,4,600,3,1,14
235,map,"[9152, 7802, 6632, 4770, 2303]",6131.8,3,1100,14,5,28
236,map,"[8677, 1778, 12856, 1230]",6135.25,4,1500,10,4,21
237,map,"[8846, 8922, 3161, 3640]",6142.25,2,1100,7,4,6
238,map,"[7844, 5882, 4888]",6204.666666666667,3,850,16,3,27
239,sat,"[4555, 7873]",6214.0,4,400,8,2,17
240,sat,[6244],6244.0,4,850,19,1,26
241,map,"[7140, 5475]",6307.5,4,600,4,2,7
242,sat,"[7277, 3658, 8187]",6374.0,3,600,15,3,22
243,map,"[8713, 7706, 6930, 3444, 3266, 8307]",6394.333333333333,4,850,6,6,20
244,map,"[7815, 6355, 5118]",6429.333333333333,2,850,13,3,22
245,sat,[6499],6499.0,1,600,5,1,18
246,map,"[8292, 7716, 3714]",6574.0,1,850,10,3,1
247,sat,"[7236, 6681, 6723, 6562, 5766, 7013, 7032]",6716.142857142857,3,600,5,7,14
248,sat,"[6977, 5817, 7610]",6801.333333333333,2,600,16,3,16
249,sat,[6988],6988.0,4,600,4,1,24
250,sat,"[6770, 7254]",7012.0,1,600,4,2,8
251,map,[7109],7109.0,3,850,19,1,13
252,sat,"[7037, 7253]",7145.0,3,600,7,2,21
253,map,"[8588, 7672, 6518, 5982]",7190.0,3,850,13,4,2
254,sat,"[7346, 9761, 4546]",7217.666666666667,3,600,18,3,28
255,sat,"[6995, 7235, 11039, 3674]",7235.75,3,600,5,4,4
256,sat,"[9659, 4828]",7243.5,2,600,11,2,5
257,sat,[7264],7264.0,5,1100,8,1,26
258,sat,"[7261, 7233, 7502]",7332.0,2,600,12,3,1
259,map,[7450],7450.0,3,850,11,1,19
260,map,"[10803, 9963, 7831, 3648, 5269]",7502.8,5,1100,8,5,14
261,sat,"[7234, 9510, 5844]",7529.333333333333,2,600,10,3,15
262,sat,"[10297, 4789]",7543.0,3,850,15,2,10
263,map,"[8278, 7706, 6855]",7613.0,2,850,8,3,6
264,sat,"[10219, 13186, 3439, 4010]",7713.5,1,850,9,4,3
265,map,"[8267, 7685, 7140, 7852]",7736.0,2,850,8,4,4
266,sat,[7774],7774.0,5,2000,4,1,14
267,sat,[7838],7838.0,3,600,8,1,12
268,map,"[8579, 7682, 7441]",7900.666666666667,2,850,6,3,3
269,map,"[8314, 7678]",7996.0,5,850,10,2,24
270,map,[7997],7997.0,1,1100,15,1,16
271,map,"[8942, 10021, 7720, 5665]",8087.0,1,1100,12,4,25
272,map,[8094],8094.0,4,1100,9,1,15
273,sat,"[6976, 7237, 10274]",8162.333333333333,2,600,6,3,3
274,map,"[11077, 6948, 5559, 8934, 4869, 11924]",8218.5,5,1100,14,6,24
275,map,"[7166, 6805, 10799]",8256.666666666666,3,1100,9,3,21
276,sat,"[7012, 9711]",8361.5,3,600,7,2,20
277,sat,"[7229, 9677]",8453.0,3,600,9,2,17
278,map,[8542],8542.0,4,850,3,1,7
279,map,[8615],8615.0,2,1100,7,1,19
280,map,"[5399, 11885]",8642.0,1,1500,17,2,9
281,map,"[9935, 7554]",8744.5,3,1100,7,2,4
282,map,[8746],8746.0,5,850,5,1,23
283,map,"[13663, 6020, 3030, 12546]",8814.75,2,1500,9,4,3
284,map,"[15078, 3178, 7952, 3069, 14902]",8835.8,3,110,14,5,11
285,map,"[14672, 9002, 9671, 2767]",9028.0,4,1800,28,4,28
286,sat,"[10283, 10243, 3415, 12429]",9092.5,1,850,11,4,9
287,map,[9125],9125.0,4,2000,10,1,26
288,sat,"[9461, 9285]",9373.0,5,850,4,2,14
289,map,[9431],9431.0,3,850,8,1,17
290,map,"[9212, 9792]",9502.0,3,1100,15,2,2
291,sat,[9632],9632.0,2,850,11,1,21
292,map,"[10161, 7813, 10947]",9640.333333333334,4,2000,8,3,21
293,map,[9922],9922.0,4,1100,8,1,23
294,map,[9935],9935.0,3,1100,20,1,27
295,map,"[11057, 8937, 9917, 8845, 8004, 13008]",9961.333333333334,3,1100,7,6,18
296,map,"[11051, 9925, 9188]",10054.666666666666,2,1100,7,3,3
297,sat,"[9968, 10261]",10114.5,3,850,6,2,6
298,map,[10261],10261.0,4,1500,23,1,28
299,sat,[10335],10335.0,1,1100,7,1,18
300,map,[10338],10338.0,4,1500,7,1,15
301,sat,"[10239, 10438]",10338.5,1,850,8,2,18
302,sat,[10357],10357.0,3,850,3,1,7
303,map,"[11060, 9946]",10503.0,3,1100,10,2,10
304,map,[10789],10789.0,1,1100,13,1,1
305,map,[10791],10791.0,3,1100,21,1,22
306,map,[10791],10791.0,3,1100,9,1,17
307,map,[10944],10944.0,1,2000,44,1,2
308,map,[11110],11110.0,2,1100,3,1,7
309,map,"[14090, 13570, 6768]",11476.0,1,1500,10,3,4
310,sat,"[18025, 10954, 6052]",11677.0,1,1500,9,3,3
311,map,[12225],12225.0,5,1500,9,1,23
312,map,"[12765, 11777]",12271.0,1,1500,7,2,6
313,map,"[15033, 13527, 9045, 11778]",12345.75,4,1500,13,4,19
314,sat,"[10009, 10249, 17750]",12669.333333333334,2,850,6,3,4
315,map,"[20104, 7688, 7256, 15810]",12714.5,3,2000,8,4,10
316,sat,"[13303, 12196]",12749.5,3,1100,5,2,14
317,sat,[12785],12785.0,4,1500,8,1,26
318,sat,[12807],12807.0,3,850,14,1,28
319,map,"[20024, 5838]",12931.0,1,2000,14,2,9
320,sat,[13063],13063.0,1,1100,17,1,1
321,sat,"[13088, 13226]",13157.0,1,1100,14,2,9
322,sat,"[13130, 13326]",13228.0,2,1100,9,2,21
323,sat,"[13238, 13232]",13235.0,1,1100,6,2,6
324,sat,[13368],13368.0,1,1100,17,1,22
325,map,"[14773, 9029, 16357]",13386.333333333334,4,1500,4,3,14
326,sat,[13417],13417.0,1,1100,7,1,3
327,map,"[15049, 13529, 11761]",13446.333333333334,3,1500,12,3,10
328,map,[13829],13829.0,2,1800,7,1,6
329,map,[14139],14139.0,4,1500,7,1,20
